,Neighborhood,Num_Houses,Median_House_Income,White.,Num_Schools,Bus_Lines,Median_House_Price,Unemployement.,Median Age,
1,Blmngtn,17,"89,286.00",96.30,3.00,1.00,"208,600.00",2.25,37.50,
2,Blueste,2,"55,200.00",72.60,1.00,2.00,"194,100.00",5.20,30.20,
3,BrDale,16,"77,400.00",99.10,5.00,1.00,"174,400.00",1.31,53.30,
4,BrkSide,58,"30,104.00",89.40,3.00,3.00,"173,800.00",20.70,19.20,
5,ClearCr,28,"30,104.00",89.40,2.00,2.00,"173,800.00",20.70,19.20,
6,CollgCr,150,"15,934.00",85.50,4.00,10.00,"131,000.00",10.20,21.40,
7,Crawfor,51,"17,892.00",45.20,1.00,2.00,"88,800.00",5.58,24.50,
8,Edwards,100,"55,200.00",72.60,1.00,2.00,"194,100.00",5.20,30.20,
9,Gilbert,79,"82,500.00",77.50,1.00,0.00,"171,400.00",1.32,34.00,
10,IDOTRR,37,"17,892.00",45.20,1.00,5.00,"88,800.00",5.58,24.50,
11,MeadowV,17,"49,460.00",81.40,1.00,3.00,"155,900.00",5.42,31.00,
12,Mitchel,49,"49,460.00",81.40,1.00,1.00,"155,900.00",5.42,31.00,
13,NAmes,225,"14,026.00",53.80,5.00,2.00,"32,500.00",9.02,21.00,
14,NoRidge,41,"97,981.00",90.50,1.00,1.00,"253,000.00",1.32,42.30,
15,NPkVill,9,"77,400.00",99.10,5.00,1.00,"174,400.00",1.31,53.30,
16,NridgHt,77,"97,981.00",90.50,3.00,1.00,"253,000.00",1.32,42.30,
17,NWAmes,73,"62,760.00",94.80,1.00,1.00,"159,100.00",3.25,28.90,
18,OldTown,113,"17,892.00",45.20,1.00,2.00,"88,800.00",5.58,24.50,
19,Sawyer,74,"55,200.00",72.60,1.00,1.00,"194,100.00",5.20,30.20,
20,SawyerW,59,"55,200.00",72.60,1.00,1.00,"194,100.00",5.20,30.20,
21,Somerst,86,"97,981.00",90.50,5.00,1.00,"253,000.00",1.32,42.30,
22,StoneBr,25,"89,286.00",96.30,3.00,1.00,"208,600.00",2.25,37.50,
23,SWISU,25,"55,200.00",72.60,2.00,2.00,"194,100.00",5.20,30.20,
24,Timber,38,"61,964.00",90.50,0.00,1.00,"248,500.00",5.42,53.00,
25,Veenker,11,"30,104.00",89.40,2.00,2.00,"173,800.00",20.70,19.20,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
