"","X","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageCars","GarageArea","GarageQual","GarageCond","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MoSold","YrSold","SaleType","SaleCondition","HouseAge","GarageAge","RemodAddAge","SalePriceThousands"
"1",1,1,60,"RL",65,8450,NA,"CollgCr","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",706,"Unf",0,150,856,"GasA","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ",0,"Attchd",2,548,"TA","TA",0,61,0,0,0,0,NA,NA,2,2008,"WD","Normal",5,5,5,208.5
"2",2,1,20,"RL",80,9600,NA,"Veenker","Feedr","Norm","1Fam","1Story",6,8,"CompShg","MetalSd","MetalSd","TA","TA","Gd","TA","ALQ",978,"Unf",0,284,1262,"GasA","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"Attchd",2,460,"TA","TA",298,0,0,0,0,0,NA,NA,5,2007,"WD","Normal",31,31,31,181.5
"3",3,1,60,"RL",68,11250,NA,"CollgCr","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",486,"Unf",0,434,920,"GasA","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"Attchd",2,608,"TA","TA",0,42,0,0,0,0,NA,NA,9,2008,"WD","Normal",7,7,6,223.5
"4",4,1,70,"RL",60,9550,NA,"Crawfor","Norm","Norm","1Fam","2Story",7,5,"CompShg","Wd Sdng","Wd Shng","TA","TA","TA","Gd","ALQ",216,"Unf",0,540,756,"GasA","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Detchd",3,642,"TA","TA",0,35,272,0,0,0,NA,NA,2,2006,"WD","Abnorml",91,8,36,140
"5",5,1,60,"RL",84,14260,NA,"NoRidge","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",655,"Unf",0,490,1145,"GasA","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"Attchd",3,836,"TA","TA",192,84,0,0,0,0,NA,NA,12,2008,"WD","Normal",8,8,8,250
"6",6,1,50,"RL",85,14115,NA,"Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","GLQ",732,"Unf",0,64,796,"GasA","SBrkr",796,566,0,1362,1,0,1,1,1,1,"TA",5,"Typ",0,"Attchd",2,480,"TA","TA",40,30,0,320,0,0,NA,"MnPrv",10,2009,"WD","Normal",16,16,14,143
"7",7,1,20,"RL",75,10084,NA,"Somerst","Norm","Norm","1Fam","1Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Ex","TA","GLQ",1369,"Unf",0,317,1686,"GasA","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2,636,"TA","TA",255,57,0,0,0,0,NA,NA,8,2007,"WD","Normal",3,3,2,307
"8",8,1,60,"RL",0,10382,NA,"NWAmes","PosN","Norm","1Fam","2Story",7,6,"CompShg","HdBoard","HdBoard","TA","TA","Gd","TA","ALQ",859,"BLQ",32,216,1107,"GasA","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ",2,"Attchd",2,484,"TA","TA",235,204,228,0,0,0,NA,NA,11,2009,"WD","Normal",36,36,36,200
"9",9,1,50,"RM",51,6120,NA,"OldTown","Artery","Norm","1Fam","1.5Fin",7,5,"CompShg","BrkFace","Wd Shng","TA","TA","TA","TA","Unf",0,"Unf",0,952,952,"GasA","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"Detchd",2,468,"Fa","TA",90,0,205,0,0,0,NA,NA,4,2008,"WD","Abnorml",77,77,58,129.9
"10",10,1,190,"RL",50,7420,NA,"BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","GLQ",851,"Unf",0,140,991,"GasA","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ",2,"Attchd",1,205,"Gd","TA",0,4,0,0,0,0,NA,NA,1,2008,"WD","Normal",69,69,58,118
